"Win–loss records and final positions in league/division standings, by season, with playoff results and award winners",,,,,,,,,,
MLB season,Yankees season,League[11],Division[11],Finish[11],Wins[11],Losses[11],Win%[11],GB[11][c],Playoffs[12],Awards
1994[k],1994,AL,East,1st,70,43,0.619,—,—,Buck Showalter(MOY)[54]
1995[l],1995,AL,East,2nd ¤,79,65,0.549,7,"Lost ALDS to Seattle Mariners, 3–2[55]",—
1996 †,1996,AL *,East ^,1st,92,70,0.568,—,"Won ALDS vs. Texas Rangers, 3–1",Derek Jeter(ROY)[34]
,,,,,,,,,"Won ALCS vs. Baltimore Orioles, 4–1",Joe Torre(MOY)[54]
,,,,,,,,,"Won World Series vs. Atlanta Braves, 4–2[56]†",John Wetteland(WSMVP)[39]
1997,1997,AL,East,2nd ¤,96,66,0.593,2,"Lost ALDS to Cleveland Indians, 3–2[57]",—
1998 †,1998,AL *,East ^,1st,114,48,0.704,—,"Won ALDS vs. Texas Rangers, 3–0",Joe Torre(MOY)[54]
,,,,,,,,,"Won ALCS vs. Cleveland Indians, 4–2",Scott Brosius(WSMVP)[39]
,,,,,,,,,"Won World Series vs. San Diego Padres, 4–0[58] †",
1999 †,1999,AL *,East ^,1st,98,64,0.605,—,"Won ALDS vs. Texas Rangers, 3–0",Mariano Rivera(WSMVP)[39]
,,,,,,,,,"Won ALCS vs. Boston Red Sox, 4–1",
,,,,,,,,,"Won World Series vs. Atlanta Braves, 4–0[59]†",
2000 †,2000,AL *,East ^,1st,87,74,0.54,—,"Won ALDS vs. Oakland Athletics, 3–2","Derek Jeter(ASGMVP, WSMVP)[39][61]"
,,,,,,,,,"Won ALCS vs. Seattle Mariners, 4–2",
,,,,,,,,,"Won World Series vs. New York Mets, 4–1[60] †",
2001,2001,AL *,East ^,1st,95,65,0.594,—,"Won ALDS vs. Oakland Athletics, 3–2",Roger Clemens(CYA)[42]
,,,,,,,,,"Won ALCS vs. Seattle Mariners, 4–1",
,,,,,,,,,"Lost World Series to Arizona Diamondbacks, 4–3[62] *",
2002,2002,AL,East ^,1st,103,58,0.64,—,"Lost ALDS to Anaheim Angels, 3–1[63]",—
2003,2003,AL *,East ^,1st,101,61,0.623,—,"Won ALDS vs. Minnesota Twins, 3–1",—
,,,,,,,,,"Won ALCS vs. Boston Red Sox, 4–3",
,,,,,,,,,"Lost World Series to Florida Marlins, 4–2[64]*",
2004,2004,AL,East ^,1st,101,61,0.623,—,"Won ALDS vs. Minnesota Twins, 3–1",—
,,,,,,,,,"Lost ALCS to Boston Red Sox, 4–3[65]",
2005,2005,AL,East ^,1st[m],95,67,0.586,—,"Lost ALDS to Los Angeles Angels of Anaheim, 3–2[66]",Alex Rodriguez(MVP)[23]
,,,,,,,,,,Jason Giambi(CPOY)[67]
2006,2006,AL,East ^,1st,97,65,0.599,—,"Lost ALDS to Detroit Tigers, 3–1[68]",—
2007,2007,AL,East,2nd ¤,94,68,0.58,2,"Lost ALDS to Cleveland Indians, 3–1[69]",Alex Rodriguez(MVP)[23]
2008,2008,AL,East,3rd,89,73,0.549,8,—,—
2009 †,2009,AL *,East ^,1st,103,59,0.636,—,"Won ALDS vs. Minnesota Twins, 3–0",Hideki Matsui(WSMVP)[39]
,,,,,,,,,"Won ALCS vs. Los Angeles Angels of Anaheim, 4–2",
,,,,,,,,,"Won World Series vs. Philadelphia Phillies, 4–2[70] †",
2010,2010,AL,East,2nd ¤,95,67,0.586,1,"Won ALDS vs. Minnesota Twins, 3–0",—
,,,,,,,,,"Lost ALCS to Texas Rangers, 4–2",
2011,2011,AL,East ^,1st,97,65,0.599,—,"Lost ALDS to Detroit Tigers, 3–2",—
2012,2012,AL,East ^,1st,95,67,0.586,—,"Won ALDS vs. Baltimore Orioles, 3–2",—
,,,,,,,,,"Lost ALCS to Detroit Tigers, 4–0",
2013,2013,AL,East,3rd[n],85,77,0.525,12,—,"Mariano Rivera(ASGMVP, CPOY)[61][71]"
2014,2014,AL,East,2nd,84,78,0.519,12,—,—
2015,2015,AL,East,2nd ¤,87,75,0.537,6,Lost ALWC to Houston Astros,—
2016,2016,AL,East,4th,84,78,0.519,9,—,—
2017,2017,AL,East,2nd ¤,91,71,0.562,2,Won ALWC vs. Minnesota Twins,Aaron Judge(ROY)[34]
,,,,,,,,,"Won ALDS vs. Cleveland Indians, 3–2",
,,,,,,,,,"Lost ALCS to Houston Astros, 4–3",
